Id,Wages,FavoriteColor,Birthday
1,$7781.40,RED,3/27/1996
2,$8577.42,BLUE,6/13/1958
3,$4747.56,WHITE,9/23/1970
4,$233.64,GREEN,1/25/1985
5,$2328.61,RED,7/17/1976
6,$8600.17,RED,8/9/1968
7,$1363.92,YELLOW,5/11/1978
8,$6724.56,RED,7/19/2000
9,$3727.83,BLUE,11/25/1995
10,$9714.11,GREEN,6/10/1980
11,$6028.46,BLUE,8/10/1998
12,$7648.90,GREEN,4/28/1973
13,$376.25,YELLOW,2/28/1962
14,$6076.20,GREEN,12/3/2001
15,$3264.02,GREEN,2/7/1971
16,$6906.84,YELLOW,8/18/1994
17,$5110.62,RED,4/7/1990
18,$5466.60,BLUE,8/22/1959
19,$3749.51,BLUE,9/22/1972
20,$9230.28,YELLOW,2/7/1967
21,$7217.08,WHITE,6/18/1968
22,$7736.13,RED,4/14/1962
23,$7302.26,YELLOW,4/25/1998
24,$9072.95,RED,12/28/1971
25,$8721.10,GREEN,4/1/1999
26,$2887.00,GREEN,11/23/1967
27,$6898.42,BLUE,6/11/1988
28,$3238.03,WHITE,4/17/1968
29,$5013.13,GREEN,12/30/1995
30,$4227.28,WHITE,2/11/1975
31,$2957.51,BLUE,2/4/1969
32,$2474.88,RED,3/30/2004
33,$3226.97,GREEN,7/6/1968
34,$7641.95,RED,4/23/1962
35,$1407.35,WHITE,4/8/1971
36,$520.50,WHITE,11/30/1990
37,$2547.01,WHITE,7/30/1964
38,$272.25,BLUE,11/20/1998
39,$984.25,YELLOW,1/11/1992
40,$5271.95,GREEN,10/17/1975
41,$5423.39,WHITE,10/17/1969
42,$5511.93,GREEN,8/31/1983
43,$9941.19,GREEN,5/27/1977
44,$2051.64,BLUE,1/9/1973
45,$1074.81,YELLOW,7/23/1983
46,$2941.33,YELLOW,3/28/1992
47,$4666.55,BLUE,10/28/1992
48,$1162.64,BLUE,12/1/1972
49,$4428.86,GREEN,11/11/2005
50,$9288.37,RED,6/30/1967
51,$9491.31,RED,1/15/1989
52,$7224.83,WHITE,7/8/1976
53,$1742.04,YELLOW,6/28/1986
54,$9385.97,RED,3/5/1983
55,$249.71,WHITE,6/25/1969
56,$5142.06,BLUE,1/28/1979
57,$1707.04,RED,12/13/1975
58,$6065.60,GREEN,6/6/1992
59,$1913.79,WHITE,2/18/2001
60,$3922.05,BLUE,8/30/1962
61,$4093.30,YELLOW,10/13/1970
62,$655.88,YELLOW,9/22/1972
63,$2211.66,GREEN,12/31/2005
64,$7403.39,YELLOW,4/30/1975
65,$8141.44,BLUE,6/11/1965
66,$2533.76,YELLOW,3/21/1998
67,$1135.85,BLUE,7/21/1963
68,$7189.96,YELLOW,11/22/1992
69,$2275.39,RED,3/10/1963
70,$8803.50,GREEN,8/23/1962
71,$3991.76,GREEN,12/30/1981
72,$1350.63,BLUE,6/30/1984
73,$9033.44,YELLOW,8/19/2001
74,$786.17,RED,5/1/1973
75,$8381.18,RED,1/12/1983
76,$4675.85,GREEN,7/18/1991
77,$601.34,BLUE,2/18/1967
78,$5900.05,RED,11/9/1997
79,$9003.80,BLUE,7/12/2002
80,$5657.26,YELLOW,10/22/1965
81,$591.14,RED,3/21/2002
82,$9126.99,WHITE,1/14/1995
83,$4413.47,YELLOW,11/24/1984
84,$5443.61,RED,11/14/1996
85,$1806.04,BLUE,3/13/1994
86,$9054.23,YELLOW,4/1/1999
87,$773.38,YELLOW,10/7/1968
88,$4235.16,WHITE,11/17/1988
89,$6589.06,YELLOW,2/12/1993
90,$2621.83,YELLOW,1/4/1991
91,$1174.98,RED,3/3/1986
92,$4500.84,BLUE,7/30/1976
93,$6728.61,BLUE,11/15/1989
94,$3193.74,WHITE,10/31/2005
95,$432.88,RED,12/12/1965
96,$7698.86,WHITE,3/14/1981
97,$23.00,GREEN,7/4/1971
98,$7874.56,RED,5/8/1970
99,$5455.29,RED,3/16/1973
100,$1684.75,BLUE,10/5/1961
